"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
91 - Eduardo Barrichello - Stock Car PRO 2024
"16:04:04.977","19","19","1:28.285","156,380","0,0","32.767","0,0","37.223","0,0","18.295","246,0","0.439"
"16:05:33.299","20","20","1:28.322","156,314","0,0","32.927","0,0","37.059","0,0","18.336","245,5","0.440"
"16:07:01.642","21","21","1:28.343","156,277","0,0","32.827","0,0","37.141","0,0","18.375","245,5","0.440"
111 - Rubens Barrichello - Stock Car PRO 2024
"15:36:54.197","1","1","1:32.292","149,590","0,0","35.868","0,0","37.880","0,0","18.544","209,7","0.515"
"15:38:23.374","2","2","1:29.177","154,816","0,0","32.988","0,0","37.651","0,0","18.538","242,2","0.446"
"15:39:51.660","3","3","1:28.286","156,378","0,0","32.965","0,0","37.319","0,0","18.002","243,2","0.444"
"15:41:19.877","4","4","1:28.217","156,500","0,0","32.624","0,0","37.191","0,0","18.402","249,4","0.433"
"15:42:48.405","5","5","1:28.528","155,951","0,0","32.898","0,0","37.187","0,0","18.443","243,8","0.443"
"15:44:16.802","6","6","1:28.397","156,182","0,0","32.808","0,0","37.179","0,0","18.410","241,6","0.447"
"15:45:45.293","7","7","1:28.491","156,016","0,0","32.855","0,0","37.233","0,0","18.403","242,2","0.446"
"15:47:13.247","8","8","1:27.954","156,968","0,0","32.777","0,0","37.206","0,0","17.971","244,3","0.442"
"15:49:14.937","9","9","2:01.690","113,452","0,0","32.662","0,0","37.277","","","250,0","0.432"
"15:50:50.532","10","10","1:35.595","144,422","","","0,0","37.338","0,0","18.013","189,8","0.569"
"15:52:18.754","11","11","1:28.222","156,492","0,0","32.668","0,0","37.196","0,0","18.358","248,3","0.435"
"15:53:47.157","12","12","1:28.403","156,171","0,0","32.745","0,0","37.275","0,0","18.383","243,2","0.444"
"15:55:15.714","13","13","1:28.557","155,900","0,0","32.922","0,0","37.213","0,0","18.422","245,5","0.440"
"15:56:44.603","14","14","1:28.889","155,317","0,0","33.107","0,0","37.337","0,0","18.445","244,9","0.441"
"15:58:13.281","15","15","1:28.678","155,687","0,0","32.940","0,0","37.293","0,0","18.445","246,0","0.439"
"15:59:41.877","16","16","1:28.596","155,831","0,0","32.916","0,0","37.300","0,0","18.380","245,5","0.440"
"16:01:10.514","17","17","1:28.637","155,759","0,0","32.998","0,0","37.225","0,0","18.414","242,7","0.445"
"16:02:39.237","18","18","1:28.723","155,608","0,0","32.948","0,0","37.316","0,0","18.459","244,9","0.441"
"16:04:08.068","19","19","1:28.831","155,419","0,0","33.074","0,0","37.337","0,0","18.420","244,9","0.441"
"16:05:36.849","20","20","1:28.781","155,506","0,0","32.949","0,0","37.354","0,0","18.478","243,8","0.443"
"16:07:05.928","21","21","1:29.079","154,986","0,0","33.117","0,0","37.429","0,0","18.533","244,9","0.441"
19 - Felipe Massa - Stock Car PRO 2024
"15:36:56.006","1","1","1:32.831","148,722","0,0","35.503","0,0","38.745","0,0","18.583","216,4","0.499"
"15:38:25.219","2","2","1:29.213","154,753","0,0","33.276","0,0","37.799","0,0","18.138","246,0","0.439"
"15:39:54.146","3","3","1:28.927","155,251","0,0","33.246","0,0","37.622","0,0","18.059","252,9","0.427"
"15:41:22.819","4","4","1:28.673","155,696","0,0","33.127","0,0","37.471","0,0","18.075","253,5","0.426"
"15:42:51.306","5","5","1:28.487","156,023","0,0","32.792","0,0","37.259","0,0","18.436","250,6","0.431"
"15:44:20.024","6","6","1:28.718","155,617","0,0","32.922","0,0","37.313","0,0","18.483","245,5","0.440"
"15:45:48.481","7","7","1:28.457","156,076","0,0","32.784","0,0","37.275","0,0","18.398","244,9","0.441"
"15:47:17.092","8","8","1:28.611","155,805","0,0","32.934","0,0","37.305","0,0","18.372","245,5","0.440"
"15:48:45.479","9","9","1:28.387","156,199","0,0","32.801","0,0","37.227","0,0","18.359","244,9","0.441"
"15:50:13.747","10","10","1:28.268","156,410","0,0","32.731","0,0","37.192","0,0","18.345","244,9","0.441"
"15:52:15.000","11","11","2:01.253","113,861","0,0","32.789","0,0","37.187","","","244,3","0.442"
"15:53:50.688","12","12","1:35.688","144,281","","","0,0","37.324","0,0","18.296","190,8","0.566"
"15:55:19.140","13","13","1:28.452","156,085","0,0","32.830","0,0","37.284","0,0","18.338","245,5","0.440"
"15:56:47.453","14","14","1:28.313","156,330","0,0","32.860","0,0","37.105","0,0","18.348","244,9","0.441"
"15:58:15.825","15","15","1:28.372","156,226","0,0","32.860","0,0","37.161","0,0","18.351","245,5","0.440"
"15:59:44.336","16","16","1:28.511","155,981","0,0","32.871","0,0","37.289","0,0","18.351","246,6","0.438"
"16:01:12.814","17","17","1:28.478","156,039","0,0","32.881","0,0","37.264","0,0","18.333","246,0","0.439"
"16:02:41.143","18","18","1:28.329","156,302","0,0","32.776","0,0","37.173","0,0","18.380","245,5","0.440"
"16:04:09.746","19","19","1:28.603","155,819","0,0","32.924","0,0","37.334","0,0","18.345","246,6","0.438"
"16:05:38.491","20","20","1:28.745","155,569","0,0","32.977","0,0","37.586","0,0","18.182","248,3","0.435"
"16:07:07.183","21","21","1:28.692","155,662","0,0","33.000","0,0","37.343","0,0","18.349","254,7","0.424"
8 - Rafael Suzuki - Stock Car PRO 2024
"15:36:56.883","1","1","1:33.077","148,329","0,0","35.814","0,0","38.738","0,0","18.525","219,5","0.492"
"15:38:25.986","2","2","1:29.103","154,944","0,0","33.234","0,0","37.793","0,0","18.076","246,6","0.438"
"15:39:55.518","3","3","1:29.532","154,202","0,0","33.373","0,0","38.135","0,0","18.024","252,3","0.428"
"15:41:24.332","4","4","1:28.814","155,448","0,0","32.723","0,0","37.813","0,0","18.278","251,2","0.430"
"15:42:53.100","5","5","1:28.768","155,529","0,0","33.142","0,0","37.616","0,0","18.010","250,0","0.432"
"15:44:21.710","6","6","1:28.610","155,806","0,0","32.983","0,0","37.662","0,0","17.965","251,7","0.429"
"15:45:50.285","7","7","1:28.575","155,868","0,0","32.742","0,0","37.436","0,0","18.397","249,4","0.433"
"15:47:18.135","8","8","1:27.850","157,154","0,0","32.623","0,0","36.994","0,0","18.233","246,6","0.438"
"15:48:46.056","9","9","1:27.921","157,027","0,0","32.662","0,0","36.992","0,0","18.267","247,1","0.437"
"15:50:47.812","10","10","2:01.756","113,391","0,0","32.759","0,0","37.089","","","247,7","0.436"
"15:52:23.945","11","11","1:36.133","143,614","","","0,0","37.411","0,0","17.946","191,8","0.563"
"15:53:52.147","12","12","1:28.202","156,527","0,0","32.836","0,0","37.293","0,0","18.073","251,2","0.430"
"15:55:20.258","13","13","1:28.111","156,689","0,0","32.716","0,0","37.158","0,0","18.237","250,6","0.431"
"15:56:48.414","14","14","1:28.156","156,609","0,0","32.756","0,0","37.102","0,0","18.298","247,1","0.437"
"15:58:16.715","15","15","1:28.301","156,352","0,0","32.854","0,0","37.176","0,0","18.271","247,1","0.437"
"15:59:45.017","16","16","1:28.302","156,350","0,0","32.805","0,0","37.148","0,0","18.349","247,1","0.437"
"16:01:13.435","17","17","1:28.418","156,145","0,0","32.843","0,0","37.208","0,0","18.367","247,7","0.436"
"16:02:41.795","18","18","1:28.360","156,247","0,0","32.888","0,0","37.155","0,0","18.317","247,7","0.436"
"16:04:10.499","19","19","1:28.704","155,641","0,0","33.040","0,0","37.252","0,0","18.412","248,3","0.435"
"16:05:39.246","20","20","1:28.747","155,566","0,0","32.976","0,0","37.340","0,0","18.431","247,7","0.436"
"16:07:07.976","21","21","1:28.730","155,596","0,0","33.115","0,0","37.571","0,0","18.044","246,0","0.439"
30 - Cesar Ramos - Stock Car PRO 2024
"15:36:55.163","1","1","1:32.657","149,001","0,0","35.746","0,0","38.295","0,0","18.616","212,2","0.509"
"15:38:24.775","2","2","1:29.612","154,064","0,0","33.213","0,0","37.871","0,0","18.528","243,2","0.444"
"15:39:53.119","3","3","1:28.344","156,275","0,0","33.041","0,0","37.223","0,0","18.080","244,9","0.441"
"15:41:21.476","4","4","1:28.357","156,252","0,0","32.802","0,0","37.127","0,0","18.428","249,4","0.433"
"15:42:49.799","5","5","1:28.323","156,313","0,0","32.825","0,0","37.105","0,0","18.393","243,8","0.443"
"15:44:18.227","6","6","1:28.428","156,127","0,0","32.850","0,0","37.147","0,0","18.431","244,9","0.441"
"15:45:46.495","7","7","1:28.268","156,410","0,0","32.775","0,0","37.098","0,0","18.395","245,5","0.440"
